,user_x,importance,기타_ratio,제거_ratio,클릭_ratio
0,u10,high,0.4293341696249995,0.526971773805004,0.03768946174961212
1,u10,low,0.10458237258631094,0.8559487629448246,0.010622710622710623
2,u10,medium,0.7672764227642276,0.23252032520325203,0.0002032520325203252
3,u11,high,0.5206515393159229,0.31566676566676566,0.16368169501731145
4,u11,low,0.2607954966298793,0.7293701348401,0.009834368530020702
5,u11,medium,0.46238495398159263,0.3949579831932773,0.14265706282513008
6,u12,high,0.5500295192643976,0.3804169172482154,0.06955356348738702
7,u12,low,0.2605263157894737,0.6471595655806182,0.0923141186299081
8,u12,medium,0.0,0.9090909090909092,0.0909090909090909
9,u13,high,0.3803229850834236,0.46766594387969074,0.15201107103688558
10,u13,low,0.23703703703703705,0.6506172839506172,0.11234567901234567
11,u13,medium,0.0,0.7999999999999999,0.19999999999999998
12,u14,high,0.49676975895215464,0.3670061581132361,0.13622408293460925
13,u14,low,0.44780219780219777,0.5214285714285715,0.03076923076923077
14,u14,medium,0.4666666666666666,0.3806451612903226,0.15268817204301074
15,u15,high,0.287944307944308,0.6246132457897164,0.0863613651848946
16,u15,low,0.23323996265172736,0.753314659197012,0.013445378151260505
17,u15,medium,0.3333333333333333,0.6666666666666666,0.0
18,u16,high,0.5324186477498443,0.36469658467521715,0.0969676078116249
19,u16,low,0.5237549002138275,0.47081031717747684,0.005434782608695652
20,u16,medium,0.21666666666666665,0.7625,0.020833333333333332
21,u17,high,0.583530357459588,0.32394464360448,0.092524998935932
22,u17,low,0.3087542087542088,0.608994708994709,0.08225108225108226
23,u17,medium,0.5588235294117647,0.23284313725490194,0.20833333333333334
24,u18,high,0.424548824492654,0.4861122254909478,0.08933895001639816
25,u18,low,0.19333333333333333,0.8038095238095239,0.002857142857142857
26,u18,medium,0.17224519546500972,0.7398179391987442,0.08793686533624613
27,u19,high,0.8596844139913514,0.1356133916512818,0.004702194357366771
28,u19,low,0.38475877192982455,0.5610745614035088,0.05416666666666667
29,u19,medium,0.0,0.55,0.45
30,u20,high,0.596495648940143,0.35114756576521866,0.05235678529463841
31,u20,low,0.49166666666666664,0.4574074074074075,0.05092592592592593
32,u20,medium,0.22916666666666666,0.5152173913043478,0.2556159420289855
33,u21,high,0.5128399279827768,0.3594386263922826,0.1277214456249407
34,u21,low,0.25001329080276447,0.731468190678717,0.018518518518518517
35,u21,medium,0.22670080037664783,0.7601047551789077,0.013194444444444444
36,u22,high,0.6327361577260557,0.318962743601596,0.03952916884778689
37,u22,low,0.4315315315315315,0.5018018018018018,0.06666666666666667
38,u22,medium,0.5075757575757576,0.34498834498834496,0.12243589743589745
39,u23,high,0.5583736889977674,0.38895212881854885,0.05267418218368373
40,u23,low,0.4084967320261438,0.5555555555555556,0.03594771241830065
41,u23,medium,0.2916666666666667,0.6875,0.0
42,u24,high,0.40321398519170504,0.4996399753813006,0.09714603942699436
43,u24,low,0.1426166426166426,0.8457859013414569,0.011597456041900487
44,u24,medium,0.21559597523219817,0.7620098039215687,0.02239422084623323
45,u25,high,0.6215582953229528,0.327940993682509,0.05050071099453815
46,u25,low,0.22968846629560913,0.769815501958359,0.000496031746031746
47,u25,medium,0.0,0.3333333333333333,0.6666666666666666
48,u26,high,0.49127454801945275,0.4174546585129612,0.09127079346758599
49,u26,low,0.25683083232029014,0.7318393704688886,0.011329797210821307
50,u26,medium,0.4717032967032967,0.44972527472527474,0.07857142857142857
