,user,session,row_count,row_count_difference
0,u1,1,1442,
1,u1,2,1500,58.0
2,u10,1,741,
3,u10,2,1170,429.0
4,u11,1,1070,
5,u11,2,929,-141.0
6,u12,1,646,
7,u12,2,753,107.0
8,u13,1,1508,
9,u13,2,948,-560.0
10,u14,1,558,
11,u14,2,289,-269.0
12,u15,1,772,
13,u15,2,653,-119.0
14,u16,1,875,
15,u16,2,784,-91.0
16,u17,1,919,
17,u17,2,673,-246.0
18,u18,1,1168,
19,u18,2,1022,-146.0
20,u19,1,660,
21,u19,2,691,31.0
22,u2,1,653,
23,u2,2,855,202.0
24,u20,1,1155,
25,u20,2,835,-320.0
26,u21,1,1437,
27,u21,2,877,-560.0
28,u22,1,423,
29,u22,2,224,-199.0
30,u23,1,842,
31,u23,2,769,-73.0
32,u24,1,971,
33,u24,2,711,-260.0
34,u25,1,828,
35,u25,2,456,-372.0
36,u26,1,724,
37,u26,2,816,92.0
38,u3,1,658,
39,u3,2,651,-7.0
40,u4,1,1024,
41,u4,2,1357,333.0
42,u5,1,751,
43,u5,2,658,-93.0
44,u6,1,1187,
45,u6,2,1292,105.0
46,u7,1,660,
47,u7,2,655,-5.0
48,u8,1,1019,
49,u8,2,956,-63.0
50,u9,1,413,
51,u9,2,646,233.0
