,user,session,average_event_count
0,u1,1,1.2678571428571428
1,u1,2,1.1903881700554528
2,u10,1,1.722326454033771
3,u10,2,1.5416666666666667
4,u11,1,1.1385176184690158
5,u11,2,1.0819444444444444
6,u12,1,1.7766884531590414
7,u12,2,1.8648974668275031
8,u13,1,1.3125
9,u13,2,1.346774193548387
10,u14,1,1.8102981029810299
11,u14,2,1.8742857142857143
12,u15,1,2.0
13,u15,2,1.8434782608695652
14,u16,1,1.6764705882352942
15,u16,2,1.5162790697674418
16,u17,1,1.5760286225402504
17,u17,2,1.6298268974700398
18,u18,1,1.9092331768388107
19,u18,2,1.8135245901639345
20,u19,1,1.9523809523809523
21,u19,2,1.7857142857142858
22,u2,1,1.248780487804878
23,u2,2,1.160621761658031
24,u20,1,1.3068181818181819
25,u20,2,1.2836734693877552
26,u21,1,1.721467391304348
27,u21,2,1.4724091520861373
28,u22,1,1.5573122529644268
29,u22,2,1.7189542483660132
30,u23,1,1.4935897435897436
31,u23,2,1.2411764705882353
32,u24,1,2.6938986556359876
33,u24,2,2.7724620770128356
34,u25,1,1.6513157894736843
35,u25,2,1.358267716535433
36,u26,1,1.7369477911646587
37,u26,2,1.5286624203821657
38,u3,1,1.8982649842271293
39,u3,2,1.849912739965096
40,u4,1,1.0934065934065933
41,u4,2,1.0893098782138024
42,u5,1,1.7938144329896908
43,u5,2,1.726962457337884
44,u6,1,1.5508077123501824
45,u6,2,1.4801097393689986
46,u7,1,1.6943396226415095
47,u7,2,1.60546875
48,u8,1,1.7830105633802817
49,u8,2,1.698356807511737
50,u9,1,1.7056603773584906
51,u9,2,1.5194085027726432
